Date,Open*,High,Low,Close**,Volume,MarketCap
4-Oct-17,3.635420408,3.638719821,3.62432542,3.626274654,9.047963739,10.85559486
3-Oct-17,3.644286905,3.646645805,3.629296423,3.635230334,9.109922607,10.86440012
2-Oct-17,3.643038913,3.650329869,3.641222186,3.644371618,9.155861125,10.86310387
1-Oct-17,3.637594788,3.64382167,3.63040855,3.64382167,9.082142426,10.85761771
30-Sep-17,3.619730733,3.639330075,3.619183103,3.637360623,9.081869156,10.83970802
29-Sep-17,3.620304741,3.624759454,3.606305034,3.619413713,9.135784399,10.84022658
28-Sep-17,3.622952421,3.631373749,3.61381012,3.620628393,9.233584929,10.84281635
27-Sep-17,3.59027771,3.624287254,3.589370901,3.623318565,9.227084189,10.81009266
26-Sep-17,3.594216808,3.598778473,3.587699743,3.590211885,9.018592328,10.81398774
25-Sep-17,3.566034242,3.596624582,3.566034242,3.593958039,9.138053105,10.78576462
24-Sep-17,3.579343365,3.579343365,3.564299066,3.566182851,8.885369702,10.7990254
23-Sep-17,3.559897054,3.581973539,3.555648154,3.578914138,8.967601324,10.77952434
22-Sep-17,3.559669673,3.574987977,3.550659986,3.559990365,9.077306118,10.77925224
21-Sep-17,3.591228272,3.59288926,3.557943683,3.560031033,9.149674729,10.8107539
20-Sep-17,3.592882606,3.605454814,3.586331828,3.59172668,9.084157867,10.81236848
19-Sep-17,3.609998638,3.612155264,3.587584137,3.593836342,9.194231195,10.82943436
18-Sep-17,3.55522629,3.610578193,3.55522629,3.609081917,9.288519737,10.77461987
17-Sep-17,3.557059443,3.564051464,3.5372699,3.554232263,9.093123881,10.7763946
16-Sep-17,3.560832849,3.580792729,3.542550328,3.559312803,9.259689423,10.78011272
15-Sep-17,3.500552061,3.572110339,3.469324132,3.56080539,9.617846077,10.71977447
14-Sep-17,3.588313173,3.593352536,3.498842411,3.498992481,9.433979332,10.8074782
13-Sep-17,3.616158211,3.616158211,3.578630043,3.589121532,9.346237539,10.8352605
12-Sep-17,3.620019394,3.637954796,3.611215449,3.61603522,9.270569375,10.83905926
11-Sep-17,3.615157504,3.629579817,3.612720297,3.619225895,9.19238065,10.83414083
10-Sep-17,3.6262726,3.627922707,3.596711426,3.615207015,9.225073975,10.84521032
9-Sep-17,3.62632086,3.634358352,3.614275899,3.625935659,9.141835293,10.84520474
8-Sep-17,3.663244724,3.668479103,3.610146796,3.626212011,9.431506897,10.88207008
7-Sep-17,3.661731307,3.667923417,3.652374966,3.662746502,9.265906913,10.88049919
6-Sep-17,3.641135864,3.66438339,3.641135864,3.66248584,9.336879816,10.85985072
5-Sep-17,3.626164766,3.646191919,3.601854739,3.64112991,9.431037116,10.84481504
4-Sep-17,3.661966885,3.661966885,3.613672721,3.626987733,9.4752832,10.88055923
3-Sep-17,3.661364914,3.673396948,3.645185406,3.661146067,9.28627454,10.87990806
2-Sep-17,3.690321919,3.696796577,3.650233677,3.660748829,9.434910457,10.90880981
1-Sep-17,3.672260457,3.689487336,3.670109419,3.689487336,9.414819647,10.89069146
31-Aug-17,3.658544631,3.675416279,3.657954123,3.672410991,9.288903975,10.87692357
30-Aug-17,3.65995041,3.665254444,3.650444494,3.659469322,9.287320157,10.87827241
29-Aug-17,3.64238636,3.665175585,3.638701859,3.66077254,9.3955151,10.86066016
28-Aug-17,3.641915122,3.643840407,3.625789707,3.64173778,9.292107588,10.86014568
27-Aug-17,3.637999776,3.645087085,3.635211222,3.64175958,9.186803826,10.85618009
26-Aug-17,3.640686113,3.641402714,3.630379052,3.638728802,9.179439756,10.85883244
25-Aug-17,3.636770647,3.648915942,3.634210162,3.640640417,9.237536198,10.8548833
24-Aug-17,3.616748503,3.641116017,3.615977391,3.636957042,9.309150902,10.83482683
23-Aug-17,3.611618173,3.628979169,3.610490883,3.618207134,9.37471536,10.82964464
22-Aug-17,3.601880808,3.615819639,3.565207707,3.612838934,9.575677305,10.8198794
21-Aug-17,3.611774274,3.613750938,3.600820485,3.602248868,9.447296053,10.82973528
20-Aug-17,3.622142498,3.622865494,3.609581604,3.611474765,9.324235113,10.84006028
19-Aug-17,3.616764247,3.627699643,3.598850669,3.62259736,9.473606658,10.83463112
18-Aug-17,3.635919833,3.640494356,3.603728815,3.619158052,9.468599857,10.85373775
17-Aug-17,3.641914131,3.651733397,3.627745698,3.636657369,9.407112051,10.85967318
16-Aug-17,3.623284446,3.641596053,3.601453728,3.641139833,9.356415973,10.84100075
